###############################################################
#  Generated by:      Cadence Innovus 21.15-s110_1
#  OS:                Linux x86_64(Host ID A17)
#  Generated on:      Tue May  5 03:13:06 2026
#  Design:            Single_Cycle_Top
#  Command:           report_constraint -all_violators > smvdu_aho32_drvs.txt
###############################################################
# format : frame 1 : split 1

max_delay/setup
---------------------------
     +---------------------------------------------------------+ 
     |            End Point | Slack  |    Cause |         View | 
     |----------------------+--------+----------+--------------| 
     | data_sram/addr0[5] r | -4.473 | VIOLATED | typical_view | 
     | data_sram/addr0[3] r | -1.097 | VIOLATED | typical_view | 
     | data_sram/addr0[2] r | -0.161 | VIOLATED | typical_view | 
     +---------------------------------------------------------+ 

Check type : clock_period
---------------------------
No paths found

Check type : skew
---------------------------
No paths found

Check type : pulse_width
---------------------------
 No violating Checks with given description found

Check type : max_transition
---------------------------
     +--------------------------------------------------------------------+ 
     | Pin Name               | Required | Actual | Slack  | View         | 
     | data_sram/din0[23]     | 0.500    | 1.918  | -1.418 | typical_view | 
     | data_sram/din0[5]      | 0.500    | 1.912  | -1.412 | typical_view | 
     | data_sram/din0[22]     | 0.500    | 1.909  | -1.409 | typical_view | 
     | data_sram/din0[2]      | 0.500    | 1.878  | -1.378 | typical_view | 
     | data_sram/din0[11]     | 0.500    | 1.869  | -1.369 | typical_view | 
     | data_sram/din0[10]     | 0.500    | 1.857  | -1.357 | typical_view | 
     | core_top/ALUResult[0]  | 1.500    | 2.852  | -1.352 | typical_view | 
     | data_sram/din0[27]     | 0.500    | 1.850  | -1.350 | typical_view | 
     | core_top/PC[31]        | 1.500    | 2.827  | -1.327 | typical_view | 
     | data_sram/din0[15]     | 0.500    | 1.754  | -1.254 | typical_view | 
     | data_sram/din0[7]      | 0.500    | 1.754  | -1.254 | typical_view | 
     | data_sram/din0[3]      | 0.500    | 1.752  | -1.252 | typical_view | 
     | data_sram/din0[6]      | 0.500    | 1.734  | -1.234 | typical_view | 
     | data_sram/din0[16]     | 0.500    | 1.731  | -1.231 | typical_view | 
     | data_sram/din0[17]     | 0.500    | 1.725  | -1.225 | typical_view | 
     | data_sram/din0[19]     | 0.500    | 1.700  | -1.200 | typical_view | 
     | data_sram/din0[31]     | 0.500    | 1.689  | -1.189 | typical_view | 
     | core_top/PC[30]        | 1.500    | 2.680  | -1.180 | typical_view | 
     | data_sram/din0[26]     | 0.500    | 1.661  | -1.161 | typical_view | 
     | data_sram/din0[30]     | 0.500    | 1.632  | -1.132 | typical_view | 
     | data_sram/din0[9]      | 0.500    | 1.496  | -0.996 | typical_view | 
     | data_sram/din0[21]     | 0.500    | 1.472  | -0.972 | typical_view | 
     | data_sram/din0[8]      | 0.500    | 1.450  | -0.950 | typical_view | 
     | data_sram/din0[12]     | 0.500    | 1.419  | -0.919 | typical_view | 
     | core_top/PC[25]        | 1.500    | 2.412  | -0.912 | typical_view | 
     | data_sram/din0[20]     | 0.500    | 1.404  | -0.904 | typical_view | 
     | core_top/PC[3]         | 1.500    | 2.352  | -0.852 | typical_view | 
     | core_top/PC[23]        | 1.500    | 2.323  | -0.823 | typical_view | 
     | core_top/ALUResult[25] | 1.500    | 2.311  | -0.811 | typical_view | 
     | core_top/ALUResult[23] | 1.500    | 2.287  | -0.787 | typical_view | 
     | core_top/PC[24]        | 1.500    | 2.285  | -0.785 | typical_view | 
     | core_top/ALUResult[4]  | 1.500    | 2.284  | -0.784 | typical_view | 
     | data_sram/din0[14]     | 0.500    | 1.278  | -0.778 | typical_view | 
     | data_sram/din0[18]     | 0.500    | 1.271  | -0.771 | typical_view | 
     | core_top/WriteData[25] | 1.500    | 2.255  | -0.755 | typical_view | 
     | core_top/ALUResult[24] | 1.500    | 2.250  | -0.750 | typical_view | 
     | core_top/PC[8]         | 1.500    | 2.248  | -0.748 | typical_view | 
     | core_top/PC[9]         | 1.500    | 2.231  | -0.731 | typical_view | 
     | core_top/PC[22]        | 1.500    | 2.228  | -0.728 | typical_view | 
     | core_top/ALUResult[22] | 1.500    | 2.201  | -0.701 | typical_view | 
     | core_top/ALUResult[11] | 1.500    | 2.186  | -0.686 | typical_view | 
     | core_top/WriteData[13] | 1.500    | 2.175  | -0.675 | typical_view | 
     | core_top/PC[7]         | 1.500    | 2.164  | -0.664 | typical_view | 
     | core_top/PC[17]        | 1.500    | 2.102  | -0.602 | typical_view | 
     | core_top/PC[16]        | 1.500    | 2.080  | -0.580 | typical_view | 
     | core_top/PC[29]        | 1.500    | 2.065  | -0.565 | typical_view | 
     | core_top/WriteData[4]  | 1.500    | 2.060  | -0.560 | typical_view | 
     | core_top/PC[15]        | 1.500    | 2.054  | -0.554 | typical_view | 
     | core_top/PC[10]        | 1.500    | 2.042  | -0.542 | typical_view | 
     | core_top/PC[14]        | 1.500    | 2.034  | -0.534 | typical_view | 
     | core_top/PC[1]         | 1.500    | 2.008  | -0.508 | typical_view | 
     | core_top/PC[28]        | 1.500    | 2.005  | -0.505 | typical_view | 
     | core_top/PC[11]        | 1.500    | 1.992  | -0.492 | typical_view | 
     | core_top/PC[27]        | 1.500    | 1.984  | -0.484 | typical_view | 
     | core_top/PC[26]        | 1.500    | 1.957  | -0.457 | typical_view | 
     | core_top/PC[0]         | 1.500    | 1.949  | -0.449 | typical_view | 
     | core_top/ALUResult[6]  | 1.500    | 1.933  | -0.433 | typical_view | 
     | core_top/WriteData[29] | 1.500    | 1.896  | -0.396 | typical_view | 
     | core_top/PC[12]        | 1.500    | 1.892  | -0.392 | typical_view | 
     | core_top/PC[4]         | 1.500    | 1.863  | -0.363 | typical_view | 
     | core_top/PC[13]        | 1.500    | 1.861  | -0.361 | typical_view | 
     | core_top/WriteData[28] | 1.500    | 1.851  | -0.351 | typical_view | 
     | core_top/PC[21]        | 1.500    | 1.843  | -0.343 | typical_view | 
     | core_top/ALUResult[7]  | 1.500    | 1.808  | -0.308 | typical_view | 
     | core_top/PC[5]         | 1.500    | 1.780  | -0.280 | typical_view | 
     | core_top/ALUResult[20] | 1.500    | 1.779  | -0.279 | typical_view | 
     | core_top/WriteData[24] | 1.500    | 1.775  | -0.275 | typical_view | 
     | core_top/PC[20]        | 1.500    | 1.762  | -0.262 | typical_view | 
     | core_top/WriteData[0]  | 1.500    | 1.750  | -0.250 | typical_view | 
     | core_top/WriteData[23] | 1.500    | 1.735  | -0.235 | typical_view | 
     | core_top/WriteData[22] | 1.500    | 1.724  | -0.224 | typical_view | 
     | core_top/PC[6]         | 1.500    | 1.723  | -0.223 | typical_view | 
     | core_top/PC[19]        | 1.500    | 1.723  | -0.223 | typical_view | 
     | core_top/WriteData[5]  | 1.500    | 1.693  | -0.193 | typical_view | 
     | core_top/ALUResult[14] | 1.500    | 1.681  | -0.181 | typical_view | 
     | core_top/WriteData[1]  | 1.500    | 1.671  | -0.171 | typical_view | 
     | core_top/PC[18]        | 1.500    | 1.669  | -0.169 | typical_view | 
     | core_top/WriteData[2]  | 1.500    | 1.666  | -0.166 | typical_view | 
     | core_top/WriteData[11] | 1.500    | 1.641  | -0.141 | typical_view | 
     | core_top/WriteData[10] | 1.500    | 1.638  | -0.138 | typical_view | 
     | core_top/WriteData[27] | 1.500    | 1.581  | -0.081 | typical_view | 
     | core_top/WriteData[3]  | 1.500    | 1.551  | -0.051 | typical_view | 
     | core_top/WriteData[15] | 1.500    | 1.530  | -0.030 | typical_view | 
     +--------------------------------------------------------------------+ 

Check type : max_capacitance
---------------------------
     +-------------------------------------------------------------------+ 
     | Pin Name              | Required | Actual | Slack  | View         | 
     |-----------------------+----------+--------+--------+--------------| 
     | data_sram/dout0[31]   | 0.039    | 0.579  | -0.540 | typical_view | 
     | data_sram/dout0[27]   | 0.039    | 0.542  | -0.503 | typical_view | 
     | data_sram/dout0[19]   | 0.039    | 0.528  | -0.489 | typical_view | 
     | data_sram/dout0[21]   | 0.039    | 0.520  | -0.481 | typical_view | 
     | data_sram/dout0[20]   | 0.039    | 0.508  | -0.469 | typical_view | 
     | data_sram/dout0[30]   | 0.039    | 0.504  | -0.465 | typical_view | 
     | data_sram/dout0[1]    | 0.039    | 0.491  | -0.452 | typical_view | 
     | data_sram/dout0[29]   | 0.039    | 0.490  | -0.451 | typical_view | 
     | data_sram/dout0[18]   | 0.039    | 0.489  | -0.450 | typical_view | 
     | data_sram/dout0[28]   | 0.039    | 0.487  | -0.447 | typical_view | 
     | data_sram/dout0[0]    | 0.039    | 0.483  | -0.444 | typical_view | 
     | data_sram/dout0[13]   | 0.039    | 0.479  | -0.439 | typical_view | 
     | data_sram/dout0[26]   | 0.039    | 0.470  | -0.431 | typical_view | 
     | data_sram/dout0[3]    | 0.039    | 0.457  | -0.418 | typical_view | 
     | data_sram/dout0[25]   | 0.039    | 0.454  | -0.414 | typical_view | 
     | data_sram/dout0[24]   | 0.039    | 0.444  | -0.405 | typical_view | 
     | data_sram/dout0[23]   | 0.039    | 0.436  | -0.397 | typical_view | 
     | data_sram/dout0[22]   | 0.039    | 0.431  | -0.391 | typical_view | 
     | data_sram/dout0[15]   | 0.039    | 0.391  | -0.351 | typical_view | 
     | data_sram/dout0[6]    | 0.039    | 0.376  | -0.336 | typical_view | 
     | data_sram/dout0[5]    | 0.039    | 0.374  | -0.335 | typical_view | 
     | data_sram/dout0[7]    | 0.039    | 0.374  | -0.334 | typical_view | 
     | data_sram/dout0[4]    | 0.039    | 0.370  | -0.331 | typical_view | 
     | data_sram/dout0[8]    | 0.039    | 0.367  | -0.328 | typical_view | 
     | data_sram/dout0[11]   | 0.039    | 0.366  | -0.327 | typical_view | 
     | data_sram/dout0[17]   | 0.039    | 0.365  | -0.326 | typical_view | 
     | data_sram/dout0[9]    | 0.039    | 0.363  | -0.324 | typical_view | 
     | data_sram/dout0[10]   | 0.039    | 0.360  | -0.321 | typical_view | 
     | data_sram/dout0[16]   | 0.039    | 0.357  | -0.318 | typical_view | 
     | data_sram/dout0[14]   | 0.039    | 0.354  | -0.315 | typical_view | 
     | data_sram/dout0[12]   | 0.039    | 0.342  | -0.302 | typical_view | 
     | data_sram/dout0[2]    | 0.039    | 0.297  | -0.258 | typical_view | 
     | core_top/ALUResult[5] | 0.312    | 0.509  | -0.198 | typical_view | 
     | core_top/MemWrite     | 0.156    | 0.348  | -0.192 | typical_view | 
     +-------------------------------------------------------------------+ 

Check type : max_fanout
---------------------------
 No Violations found
